Name,Address,Phone,Latitude,Longitude,Maps Link
"Royal Shrewsbury Hospital A&E","Mytton Oak Road, Shrewsbury, Shropshire, SY3 8XQ","01743 261000",52.7100,-2.7930,
"Princess Royal Hospital A&E","Apley Castle, Apley, Telford, TF1 6TF","01952 641222",52.71250665,-2.51204093,
"Wrexham Maelor Hospital Emergency Department","Croesnewydd Road, Wrexham, LL13 7TD","03000 847847",53.043040,-2.992494,
"Royal Stoke University Hospital A&E","Newcastle Road, Stoke-on-Trent, ST4 6QG","01782 715444",53.0026,-2.2138,
"County Hospital Stafford A&E","Weston Road, Stafford, ST16 3SA","01782 715444",52.8107,-2.0983,
"Leighton Hospital A&E","Middlewich Road, Crewe, Cheshire, CW1 4QJ","01270 255141",53.117685,-2.475863,
"Royal Derby Hospital Emergency Department","Uttoxeter Road, Derby, DE22 3NE","01332 783111",52.910425,-1.513523,
"Queen's Hospital Burton Emergency Department","Belvedere Road, Burton on Trent, Staffordshire, DE13 0RB","01283 566333",52.8185,-1.6536,
"Hereford County Hospital A&E","Stonebow Road, Hereford, HR1 2BN","01432 355444",52.0574,-2.7082,
"Gloucestershire Royal Hospital A&E","Great Western Road, Gloucester, GL1 3NN","0300 422 6600",51.86639,-2.231042,
"Worcestershire Royal Hospital Emergency Department","Charles Hastings Way, Worcester, Worcestershire, WR5 1DD","01905 763333",52.1912,-2.1816,
"Alexandra Hospital Redditch A&E","Woodrow Drive, Redditch, B98 7UB","01527 503030",52.279774,-1.912127,
"Warwick Hospital A&E","Lakin Road, Warwick, CV34 5BW","01926 495321",52.289953,-1.583201,
"University Hospital Coventry Emergency Department","Clifford Bridge Road, Coventry, CV2 2DX","024 7696 4000",52.421229,-1.438395,
"George Eliot Hospital A&E","College Street, Nuneaton, Warwickshire, CV10 7DJ","02476 351351",52.512580,-1.478439,
"Queen Elizabeth Hospital Birmingham A&E","Mindelsohn Way, Edgbaston, Birmingham, B15 2GW","0121 371 2000",52.452799,-1.941429,
"Birmingham Heartlands Hospital A&E","Bordesley Green East, Birmingham, B9 5SS","0121 424 2000",52.4784,-1.8293,
"Good Hope Hospital Emergency Department","Rectory Road, Sutton Coldfield, West Midlands, B75 7RR","0121 424 2000",52.567366,-1.812043,
"Midland Metropolitan University Hospital A&E","Grove Lane, Smethwick, B66 2QT","0121 554 3801",52.491258,-1.949846,
"New Cross Hospital A&E","Wolverhampton Road, Wolverhampton, West Midlands, WV10 0QP","01902 307999",52.5990,-2.0952,
"Manor Hospital Walsall A&E","Moat Road, Walsall, WS2 9PS","01922 721172",52.5839,-1.9984,
"Russells Hall Hospital Emergency Department","Pensnett Road, Dudley, West Midlands, DY1 2HQ","01384 456111",52.5035,-2.1184,
